name,debut_date
BTS,2014-06-04
Stray Kids,2017-11-01
NewJeans,2022-08-01
TWICE,2015-10-20
BLACKPINK,2016-08-08
TOMORROW X TOGETHER,2019-03-04
SEVENTEEN,2015-05-29
FIFTY FIFTY,2022-11-18
(G)I-DLE,2018-05-02
ATEEZ,2018-10-24
ENHYPEN,2020-11-30
LE SSERAFIM,2022-05-02
EXO,2014-12-23
IVE,2021-12-01
aespa,2020-11-17
Red Velvet,2014-08-01
NCT DREAM,2016-08-27
ITZY,2019-02-12
XG,2022-03-18
NCT 127,2023-04-24
SHINee,2012-02-01
NMIXX,2022-02-11
STAYC,2020-11-12
P1Harmony,2020-10-28
MONSTA X,2015-05-01
K/DA,2018-11-03
Dreamcatcher,2017-01-13
MAMAMOO,2014
