name,popularity,followers
BTS,88,67314761
Jimin,83,6151216
Stray Kids,82,11932420
Jack Harlow,78,2950581
NewJeans,80,4013755
TWICE,79,18221805
Jung Kook,81,8489824
BLACKPINK,82,43198923
TOMORROW X TOGETHER,76,8308879
SEVENTEEN,78,9688818
FIFTY FIFTY,77,1021265
(G)I-DLE,75,6464635
ATEEZ,72,3007146
ENHYPEN,76,5994999
LE SSERAFIM,76,2582506
EXO,74,9688894
IVE,75,2461993
aespa,73,3397589
Red Velvet,69,8557077
j-hope,70,15344326
NCT DREAM,72,6864127
IU,69,8065339
LISA,76,4817348
ITZY,68,5605906
XG,66,682502
NCT 127,66,6893537
SUGA,69,2460946
BIBI,66,991308
wave to earth,67,497527
SHINee,65,3034070
Jay Park,64,1980455
NMIXX,67,1677674
TAEYANG,67,1160201
KAI,65,1169922
STAYC,63,1387316
Dave Stewart,66,28559
Jackson Wang,64,3957881
P1Harmony,60,765056
MONSTA X,62,5092191
LeeHi,64,1538185
Unknown Mortal Orchestra,60,802485
JENNIE,66,3613519
JISOO,70,1335987
DEAN,59,1348654
Dreamcatcher,60,1230071
Crush,62,1141984
K/DA,62,2043461
MAMAMOO,62,6956102
TAEYEON,65,2765000
JIN,67,6527220
